USER,POSITION,MOVIE_ID,TITLE
419,1,858,"Godfather, The (1972)"
419,2,1197,"Princess Bride, The (1987)"
419,3,2353,Enemy of the State (1998)
419,4,1931,Mutiny on the Bounty (1935)
419,5,951,His Girl Friday (1940)
419,6,1250,"Bridge on the River Kwai, The (1957)"
419,7,908,North by Northwest (1959)
419,8,110,Braveheart (1995)
419,9,3751,Chicken Run (2000)
419,10,1269,Arsenic and Old Lace (1944)
419,11,1282,Fantasia (1940)
419,12,2948,From Russia with Love (1963)
419,13,3159,Fantasia 2000 (1999)
419,14,3578,Gladiator (2000)
419,15,1035,"Sound of Music, The (1965)"
419,16,3675,White Christmas (1954)
419,17,480,Jurassic Park (1993)
419,18,3155,Anna and the King (1999)
419,19,2454,"Fly, The (1958)"
419,20,1286,Somewhere in Time (1980)
419,21,3,Grumpier Old Men (1995)
419,22,923,Citizen Kane (1941)
419,23,1270,Back to the Future (1985)
419,24,933,To Catch a Thief (1955)
419,25,932,"Affair to Remember, An (1957)"
419,26,497,Much Ado About Nothing (1993)
419,27,2324,Life Is Beautiful (La Vita è bella) (1997)
419,28,902,Breakfast at Tiffany's (1961)
419,29,1393,Jerry Maguire (1996)
419,30,2683,Austin Powers: The Spy Who Shagged Me (1999)
419,31,1682,"Truman Show, The (1998)"
419,32,1947,West Side Story (1961)
419,33,3836,Kelly's Heroes (1970)
419,34,1954,Rocky (1976)
419,35,1234,"Sting, The (1973)"
419,36,1374,Star Trek: The Wrath of Khan (1982)
419,37,260,Star Wars: Episode IV - A New Hope (1977)
419,38,3408,Erin Brockovich (2000)
419,39,377,Speed (1994)
419,40,934,Father of the Bride (1950)
419,41,1721,Titanic (1997)
419,42,2424,You've Got Mail (1998)
419,43,3654,"Guns of Navarone, The (1961)"
419,44,1262,"Great Escape, The (1963)"
419,45,457,"Fugitive, The (1993)"
419,46,2707,Arlington Road (1999)
419,47,1408,"Last of the Mohicans, The (1992)"
419,48,266,Legends of the Fall (1994)
419,49,3871,Shane (1953)
419,50,1927,All Quiet on the Western Front (1930)
419,51,899,Singin' in the Rain (1952)
419,52,2028,Saving Private Ryan (1998)
419,53,318,"Shawshank Redemption, The (1994)"
419,54,919,"Wizard of Oz, The (1939)"
419,55,1219,Psycho (1960)
419,56,527,Schindler's List (1993)
419,57,912,Casablanca (1942)
419,58,2858,American Beauty (1999)
419,59,928,Rebecca (1940)
419,60,50,"Usual Suspects, The (1995)"
419,61,905,It Happened One Night (1934)
419,62,1196,Star Wars: Episode V - The Empire Strikes Back (1980)
419,63,3196,Stalag 17 (1953)
419,64,1198,Raiders of the Lost Ark (1981)
419,65,1203,12 Angry Men (1957)
419,66,1207,To Kill a Mockingbird (1962)
419,67,903,Vertigo (1958)
419,68,1136,Monty Python and the Holy Grail (1974)
419,69,1411,Hamlet (1996)
419,70,1127,"Abyss, The (1989)"
419,71,2355,"Bug's Life, A (1998)"
419,72,2881,Double Jeopardy (1999)
419,73,2394,"Prince of Egypt, The (1998)"
419,74,2396,Shakespeare in Love (1998)
419,75,2762,"Sixth Sense, The (1999)"
419,76,3114,Toy Story 2 (1999)
419,77,3793,X-Men (2000)
5021,1,3152,"Last Picture Show, The (1971)"
5021,2,1193,One Flew Over the Cuckoo's Nest (1975)
5021,3,3257,"Bodyguard, The (1992)"
5021,4,3763,F/X (1986)
5021,5,3723,Hamlet (1990)
5021,6,3733,"Paper Chase, The (1973)"
5021,7,3789,"Pawnbroker, The (1965)"
5021,8,1252,Chinatown (1974)
5021,9,608,Fargo (1996)
5021,10,1267,"Manchurian Candidate, The (1962)"
5021,11,1219,Psycho (1960)
