USER,PATH_ID,LLMIPP_IoI,LLMIPP_IoR,LLMIPP_Proxy,LLMIPP_Coherence,LLMIPP_HISTORY_REUSE_RATE,LLMIPP_RAW_TARGET_PRESENT,LLMIPP_RAW_TARGET_LAST,LLMIPP_INTRA_PATH_DUPLICATE_RATE,LLMIPP_EVALUATOR_VALID,SMR_IoI,SMR_IoR,SMR_Proxy,SMR_Coherence,SMR_HISTORY_REUSE_RATE,SMR_RAW_TARGET_PRESENT,SMR_RAW_TARGET_LAST,SMR_INTRA_PATH_DUPLICATE_RATE,SMR_EVALUATOR_VALID
419,1,-0.8400936645984522,258,0.8120590299367905,0.75,1.0,True,True,0.0,True,4.414846015292287,413,0.2953613205397403,1.0,0.0,True,True,0.0,True
419,2,-0.5216724730157338,364,0.8707902252674102,0.6,1.0,True,True,0.0,True,4.414846015292287,413,0.2953613205397403,1.0,0.0,True,True,0.0,True
5021,1,-1.147606516809315,-478,0.9989997893571854,1.0,1.0,True,True,0.0,True,-0.4257116208881637,-508,0.978608250617981,1.0,0.0,True,True,0.0,True
5021,2,-1.147606516809315,-478,0.9989997893571854,1.0,1.0,True,True,0.0,True,-0.4257116208881637,-508,0.978608250617981,1.0,0.0,True,True,0.0,True
2677,1,-1.463641240647302,169,0.9875863671302796,0.8,0.4,True,True,0.0,True,4.377269802579479,1450,0.3016080604866147,0.6666666666666666,0.0,True,True,0.0,True
2677,2,-2.993289245069496,-225,0.9912454932928085,1.0,0.75,True,True,0.0,True,4.377269802579479,1450,0.3016080604866147,0.6666666666666666,0.0,True,True,0.0,True
3113,1,,,,,0.0,True,True,0.0,False,1.5517478305475612,93,0.6027003526687622,1.0,0.0,True,True,0.0,True
3113,2,,,,,0.0,False,False,0.0,False,1.5517478305475612,93,0.6027003526687622,1.0,0.0,True,True,0.0,True
2249,1,1.184052127378834,575,0.9900898337364197,1.0,1.0,True,True,0.0,True,1.954670768812374,632,0.8556778728961945,1.0,0.0,True,True,0.0,True
2249,2,,,,,0.6,True,False,0.0,False,1.954670768812374,632,0.8556778728961945,1.0,0.0,True,True,0.0,True
